D_LOSS,D_SL,D_RL_REAL,D_RL_FAKE,D_GP,G_LOSS,G_SL,G_RL,
[E0S0],2.55e+00,2.03e+00,2.60e-01,2.54e-01,2.77e-04,1.19e+00,4.48e-01,3.72e-01,
[E0S1],2.39e+00,1.71e+00,3.23e-01,3.50e-01,3.54e-04,1.07e+00,5.21e-01,2.72e-01,
[E0S2],2.02e+00,1.53e+00,2.38e-01,2.54e-01,4.26e-04,1.41e+00,1.00e+00,2.06e-01,
[E0S3],1.62e+00,1.20e+00,2.04e-01,2.13e-01,7.03e-04,2.64e+00,2.15e+00,2.48e-01,
[E0S4],1.75e+00,1.31e+00,2.09e-01,2.28e-01,1.69e-03,-7.94e-01,-1.27e+00,2.39e-01,
[E0S5],3.80e+00,3.24e+00,2.40e-01,3.03e-01,2.99e-03,8.38e-01,4.40e-01,1.99e-01,
[E0S6],1.84e+00,1.41e+00,2.19e-01,2.01e-01,7.08e-04,1.89e+00,1.50e+00,1.94e-01,
[E0S7],1.41e+00,1.06e+00,1.72e-01,1.78e-01,1.11e-03,5.78e-01,2.46e-01,1.66e-01,
[E0S8],1.70e+00,1.34e+00,1.86e-01,1.61e-01,1.40e-03,1.82e+00,1.50e+00,1.61e-01,
[E0S9],1.29e+00,9.56e-01,1.67e-01,1.56e-01,1.61e-03,7.51e-01,4.36e-01,1.58e-01,
[E0S10],1.54e+00,1.21e+00,1.76e-01,1.44e-01,1.94e-03,3.50e+00,3.00e+00,2.50e-01,
[E0S11],1.99e+00,1.56e+00,1.89e-01,2.29e-01,2.84e-03,-9.26e-02,-4.89e-01,1.98e-01,
[E0S12],2.41e+00,2.02e+00,1.77e-01,1.99e-01,1.68e-03,8.60e-01,5.56e-01,1.52e-01,
[E0S13],1.59e+00,1.27e+00,1.63e-01,1.56e-01,1.31e-03,1.90e+00,1.52e+00,1.90e-01,
[E0S14],1.17e+00,8.10e-01,1.64e-01,1.86e-01,1.99e-03,2.25e-01,-2.11e-01,2.18e-01,
