E_LOSS,E_RGB_RL,E_THERMAL_RL,E_SL,D_LOSS,D_SL,D_RL_REAL,D_RL_FAKE,D_GP,
[E0S0],4.51e-01,4.42e-01,8.87e-03,9.12e-02,1.57e+00,1.40e+00,6.52e-03,8.87e-03,3.22e-02,
[E0S1],2.38e-01,1.80e-01,1.15e-02,5.75e-01,1.72e+00,1.53e+00,8.41e-03,1.15e-02,3.38e-02,
[E0S2],2.22e-01,1.56e-01,1.39e-02,6.62e-01,1.23e+00,1.05e+00,8.11e-03,1.39e-02,3.07e-02,
[E0S3],2.70e-01,1.75e-01,1.29e-02,9.49e-01,1.19e+00,9.69e-01,1.00e-02,1.29e-02,3.94e-02,
[E0S4],2.98e-01,3.48e-01,1.41e-02,-5.01e-01,1.80e+00,1.61e+00,1.14e-02,1.41e-02,3.40e-02,
[E0S5],4.39e-01,3.42e-01,1.51e-02,9.73e-01,1.64e+00,1.48e+00,1.40e-02,1.51e-02,2.64e-02,
[E0S6],1.90e-01,1.57e-01,1.28e-02,3.29e-01,1.25e+00,1.08e+00,8.68e-03,1.28e-02,2.86e-02,
[E0S7],2.74e-01,1.59e-01,1.26e-02,1.15e+00,1.19e+00,9.85e-01,8.65e-03,1.26e-02,3.61e-02,
[E0S8],1.79e-01,1.45e-01,1.13e-02,3.42e-01,1.16e+00,9.76e-01,9.39e-03,1.13e-02,3.20e-02,
[E0S9],3.04e-01,1.47e-01,1.27e-02,1.57e+00,1.35e+00,1.14e+00,9.46e-03,1.27e-02,3.76e-02,
[E0S10],1.82e-01,1.41e-01,1.24e-02,4.03e-01,1.13e+00,9.48e-01,9.99e-03,1.24e-02,3.18e-02,
[E0S11],2.79e-01,1.64e-01,1.21e-02,1.15e+00,1.13e+00,9.33e-01,9.96e-03,1.21e-02,3.45e-02,
[E0S12],2.08e-01,1.73e-01,1.17e-02,3.45e-01,1.24e+00,1.05e+00,9.09e-03,1.17e-02,3.37e-02,
[E0S13],3.60e-01,2.89e-01,1.09e-02,7.11e-01,1.39e+00,1.20e+00,9.90e-03,1.09e-02,3.33e-02,
[E0S14],4.32e-01,3.79e-01,1.22e-02,5.30e-01,1.34e+00,1.17e+00,8.96e-03,1.22e-02,3.09e-02,
[E0S15],4.21e-01,3.51e-01,1.22e-02,7.04e-01,1.20e+00,1.03e+00,9.47e-03,1.22e-02,3.07e-02,
